Stat,Name
70,Kashima Antlers
70,Kawasaki Frontale
67,Matsumoto Yamaga
69,Nagoya Grampus
67,Oita Trinita
67,Sagan Tosu
69,Sanfrecce Hiroshima
68,Shimizu S-Pulse
68,Shonan Bellmare
70,Urawa Reds
68,Vegalta Sendai
71,Vissel Kobe
70,Yokohama F. Marinos
66,Albirex Niigata
66,Avispa Fukuoka
65,Ehime FC
66,Fagiano Okayama
65,FC Gifu
65,FC Ryukyu
67,Jef United Chiba
64,Kagoshima United
69,Kashiwa Reysol
66,Kyoto Sanga
65,Machida Zelvia
65,Mito Hollyhock
66,Montedio Yamagata
67,Omiya Ardija
65,Renofa Yamaguchi
65,Tochigi SC
66,Tokushima Vortis
66,Tokyo Verdy
67,V-Varen Nagasaki
66,Ventforet Kofu
67,Yokohama FC
65,Zweigen Kanazawa
86,France
85,Germany
85,Spain
84,Belgium
84,Italy
83,England
83,Netherlands
83,Portugal
80,Croatia
80,Poland
80,Russia
80,Serbia
80,Switzerland
79,Denmark
79,Ukraine
78,Austria
78,Turkey
77,Czech Republic
77,Greece
77,Norway
77,Sweden
76,Bosnia and Herzegovina
76,Scotland
76,Slovakia
75,Iceland
75,Ireland
75,Slovenia
75,Wales
85,Brazil
84,Argentina
82,Uruguay
81,Colombia
78,Chile
76,Paraguay
75,Peru
75,Iran
79,Senegal
78,Algeria
78,Côte d'Ivoire
78,Morocco
76,Cameroon
76,Nigeria
76,Tunisia
75,Ghana
78,Mexico
68,CD Aves
69,Belenenses
79,Benfica
71,Boavista
69,Famalicão
67,Gil Vicente
70,CS Maritimo
70,Moreirense
69,Paços de Ferreira
71,Portimonense SC
78,FC Porto
72,Rio Ave
71,Santa Clara
75,S.C. Braga
77,Sporting
69,Tondela
74,Vitória Guimarães
71,Vitória Setúbal
73,Akhmat Grozny
72,Arsenal Tula
76,CSKA Moskva
75,Dinamo Moskva
78,Krasnodar
71,Krylya Sovetov
78,Lokomotiv Moskva
70,Orenburg
74,Rostov
73,Rubin Kazan
73,Sochi
76,Spartak Moskva
70,Tambov
69,Ufa
70,Ural
79,Zenit
69,Aberdeen
75,Celtic
65,Hamilton Academical
70,Hearts
69,Hibernian
66,Kilmarnock
65,Livingston
66,Motherwell
74,Rangers
66,Ross County
66,St. Johnstone
64,St. Mirren
75,Alavés
85,Barcelona
77,Athletic Club
76,SD Eibar
78,Getafe CF
72,Granada CF
77,CD Leganés
76,Levante UD
77,RCD Espanyol
86,Real Madrid
83,Atlético de Madrid
71,RCD Mallorca
73,CA Osasuna
79,Sevilla FC
79,Real Betis
79,Valencia CF
74,Real Valladolid
77,Real Sociedad
78,Celta de Vigo
78,Villarreal
69,Albacete Balompié
68,AD Alcorcón
70,UD Almería
71,Cádiz CF
67,Elche CF
68,Extremadura Ar
66,Fuenlabrada A
70,Real Sporting
75,Girona FC
73,SD Huesca
70,RC Deportivo
70,UD Las Palmas
68,CD Lugo
71,Málaga CF
66,CD Mirandés
67,CD Numancia
69,Real Oviedo
65,Ponferrada Ab
67,Santander Vb
68,CD Tenerife
72,Rayo Vallecano
70,Real Zaragoza
73,Basel
69,Lugano
69,Luzern
65,Neuchâtel Xamax
67,Servette
70,Sion
67,St. Gallen
67,Thun
74,Young Boys
70,Zürich
67,Buriram United
61,Chainat Hornbill
62,Chiangmai
63,Chonburi
62,Nakhonratchasima Mazda
66,Port
63,Pt Prachuap
63,Ptt Rayong
63,Ratchaburi Mitrphol
62,Samut Prakan City
67,SCG Muangthong United
62,Singha Chiangrai United
61,Sukhothai
63,Suphanburi
61,Trat
65,True Bangkok United
73,Alanyaspor
69,Ankaragücü
72,Antalyaspor
77,Beşiktaş
70,Denizlispor
78,Fenerbahçe
78,Galatasaray
72,Gazişehir Gaziantep
71,Gençlerbirliği
75,Göztepe
77,Istanbul Başakşehir
73,Kasimpaşa
73,Kayserispor
72,Konyaspor
71,Rizespor
72,Sivasspor
74,Trabzonspor
72,Yeni Malatyaspor
